Anforderung,Titel,umgesetzt,Hinweis
A_18464,"TLS-Verbindungen, nicht Version 1.1",teilweise,
A_21275-01,"TLS-Verbindungen, zulässige Hashfunktionen bei Signaturen im TLS-Handshake",nein,
A_25337,Hersteller Clientsystem - Registrierung für product_id,nein,
A_25338,ZETA Client - Identifikation mittels product_id,ja,
A_25340,ZETA Client- Zertifikatsprüfung,nein,
A_25432,ZETA Client - Ablauf Clientregistrierung,nein,
A_25434,ZETA Client - Clientregistrierung mit bestätigten Umgebungseigenschaften Android,nein,
A_25453,PDP - Transparenz der installierte Policies,nein,
A_25644,PDP Client-Registrierung mit Attestation,nein,
A_25645,PDP Authentifizierung mittels TI-Smartcard,teilweise,
A_25649,PDP Authorization Server - Regelmäßige Wiederholung der Attestation,nein,
A_25650,PDP Client Registrierung - TI-Identität in Attestation,ja,
A_25651,PDP Client-Registrierung - Offband Nutzer Verification,nein,
A_25652,ZETA Guard - Notification Service,nein,
A_25653,PDP Client-Registrierung - Umsetzung der Client Policy,ja,
A_25656,PDP - Entity Statement,nein,
A_25657,PDP - Authentication über sektoralen IDP,nein,
A_25658,PDP - Authentication über SmartCard IDP,nein,
A_25660,PDP Authorization Server - Session Management mittels Access Token und Refresh Token,ja,
A_25661,PDP Authorization Server - Umsetzung der Policy Decision,ja,
A_25662,PDP Authorization Server - Refresh Token Rotation,ja,
A_25663,PDP Authorization Server - Token-Binding an Client-Registrierung,ja,
A_25664,PDP Authorization Server - Token Laufzeit gemäß Policy,teilweise,
A_25665,PDP Authorization Server - Plugin-Schnittstelle Application Authorization Backend,nein,
A_25669,PEP HTTP Proxy - Zusätzliche HTTP-Header,teilweise,
A_25733,ZETA Client - Clientverwaltung und manuelle De-Registrierung,nein,
A_25735,Clientsystem - Aktivierung Push-Benachrichtigung,nein,
A_25738,PDP Client-Registrierung - Telemetrie,nein,
A_25739,"PDP, Open Policy Agent Instanzen",teilweise,
A_25748,PDP Client-Registrierung - Maximale Anzahl von Clients,ja,
A_25752,PDP Client-Registrierung - Nutzer über Hintergrund zur Ablehnung der Clientregistrierung informieren,teilweise,
A_25758,ZETA Client - Erfassung Kontaktinformation für Offband-Verifikation,nein,
A_25760,PDP Authorization Server - OAuth2 Schnittstellen,ja,
A_25761,ZETA Client - Nutzerauthentifizierung mittels etablierter Standards,nein,
A_25762,ZETA Client - Nutzerauthentifizierung - Unterstützung etablierter Identitäten und Dienste,teilweise,
A_25766,ZETA Client - Client Credentials in TI Qualität,ja,
A_25767,ZETA Client - Clientkey in JWT,ja,
A_25768,ZETA Client - Clientregistrierung mit bestätigten Umgebungseigenschaften Apple,nein,
A_25782,ZETA Client - OAuth2 Session Management,teilweise,
A_25783,ZETA Client - Anweisungen aus HTTP Response Status Codes und Header folgen,ja,
A_25784,ZETA Guard-Komponenten - Download von Aktualisierungen im Hintergrund,ja,
A_25785,ZETA Guard-Komponenten - Nahtloser Übergang zu neuen Versionen,ja,
A_25786,ZETA Guard-Komponenten - Abschluss von Transaktionen vor Aktualisierung,ja,
A_25788,ZETA Guard-Komponenten - Unterstützung von Rollbacks,ja,
A_25789,ZETA Guard-Komponenten - Schnelle Rollback-Durchführung,ja,
A_25794,ZETA Guard-Komponenten - Implementierung von Health Checks,ja,
A_25795,ZETA Guard-Komponenten - Automatische Antwort auf Health Check Anfragen,teilweise,
A_25796,ZETA Guard-Komponenten - Bereitstellung von Zustandsinformationen,nein,
A_25798,ZETA Guard-Komponenten - Regelmäßige Selbstüberprüfung,ja,
A_25799,ZETA Guard-Komponenten - Protokollierung von Health Check Ergebnissen,nein,
A_26104,ZETA Guard-Komponenten - Protokollieren von Änderungen,teilweise,
A_26195,PEP HTTP Proxy - Unterstützung Websocket,ja,
A_26281,PDP - kurzlebige Zertifikate,nein,
A_26477,PEP HTTP Proxy - PoPP Token Validierung,ja,
A_26486,PEP HTTP Proxy - Performance,ja,
A_26487,PEP HTTP Proxy -Skalierbarkeit,ja,
A_26488,PEP HTTP Proxy - Last,ja,
A_26489,PDP Authorization Server - Performance,ja,
A_26490,PDP Authorization Server - Skalierbarkeit,ja,
