AFO,MASVS
A_28830,STORAGE
A_18464,CRYPTO
A_21275-01,CRYPTO
A_26964-01,CRYPTO
A_25766,CRYPTO
A_27379-01,CRYPTO
A_26281-01,CRYPTO
A_26450,CRYPTO
A_26452,CRYPTO
A_27802-02,CRYPTO
A_28527,CRYPTO
A_28144,CRYPTO
A_28963,CRYPTO
A_25338-01,AUTH
A_25644,AUTH
A_25645,AUTH
A_25649,AUTH
A_25650,AUTH
A_25653,AUTH
A_25660,AUTH
A_25661,AUTH
A_25662,AUTH
A_25663,AUTH
A_25767,AUTH
A_26493,AUTH
A_26477,AUTH
A_26586,AUTH
A_26589-01,AUTH
A_26590-02,AUTH
A_26944,AUTH
A_26972-02,AUTH
A_28837,AUTH
A_28431,AUTH
A_28830,AUTH
GS-A_5526,NETWORK
GS-A_5542,NETWORK
A_25340-01,NETWORK
A_25738,RESILIENCE
A_27264,RESILIENCE
A_27492-02,RESILIENCE
A_27496,RESILIENCE
A_27725-01,RESILIENCE
A_28796,RESILIENCE
A_27260,PRIVACY
A_28808,PRIVACY
